zipcode,congress,congressperson,rep,representative,actual_rep_name
31905,,,,,['Rogers' 'Bishop']
35044,,{'Sewell'},,,['Rogers']
35128,,{'Sewell'},,,['Rogers' 'Palmer']
35150,,,,,['Rogers' 'Palmer']
35973,,,,,['Rogers' 'Aderholt']
36088,,,,,['Rogers']
36130,,{'Byrne'},,{'Allen'},['Rogers']
36832,,,,,['Rogers']
36853,,,,,['Rogers']
35111,,,,,['Palmer' 'Sewell']
35117,,,,,['Palmer' 'Sewell']
35182,,,,,['Palmer']
35216,,,,,['Palmer']
35255,,,,,['Palmer']
36006,,,,,['Palmer' 'Roby']
35452,,,,,['Sewell' 'Aderholt']
36030,,,,,['Sewell' 'Roby']
36435,,,,,['Sewell']
36726,,,,,['Sewell']
36741,,,,,['Sewell']
36754,{'Abraham'},,,,['Sewell']
36916,,,,,['Sewell']
35549,,,,,['Aderholt']
35564,,,,,['Aderholt']
35776,,,,,['Aderholt' 'Brooks']
35902,,,,,['Aderholt']
35974,,,,,['Aderholt']
36009,,,,,['Roby']
36024,,,,,['Roby']
36042,{'Cook'},{'Byrne'},,,['Roby']
36323,,,,,['Roby']
36421,,,,,['Roby']
35611,,,{'Turner'},,['Brooks']
35632,,,,,['Brooks']
35762,,,,,['Brooks']
35813,,,,,['Brooks']
35898,,{'Aderholt'},,,['Brooks']
36480,,,,,['Byrne']
36512,,{'Schneider'},,,['Byrne']
36526,,,,,['Byrne']
36613,,,,,['Byrne']
85012,,,,,['Gallego' 'Stanton']
85016,,,,,['Gallego' 'Stanton']
85033,,,,,['Gallego' 'Grijalva']
85303,,,,,['Gallego' 'Lesko']
85282,,,,,['Stanton']
85054,,{'Gallego'},,,['Schweikert']
85259,,,,,['Schweikert']
85261,,,,,['Schweikert']
85622,,,,{'Green'},['Grijalva' 'Kirkpatrick']
85634,,,,,['Grijalva']
85719,,,,,['Grijalva' 'Kirkpatrick']
85302,,,,,['Lesko']
85361,,,,,['Lesko' 'Gosar']
85388,,{'Gallego'},"{'Keller', 'Williams'}",,['Lesko']
85178,,,,,['Gosar']
85212,{'Cook'},,,,['Gosar' 'Biggs']
85545,,,,,['Gosar']
85554,,,,,['Gosar']
86338,,,,,['Gosar']
86412,,,,,['Gosar']
85207,{'Cook'},,,,['Biggs']
85131,,,,,"[""O'Halleran""]"
85192,,,,,"[""O'Halleran""]"
85718,,,,,"[""O'Halleran"" 'Kirkpatrick']"
85925,,,,,"[""O'Halleran""]"
85937,,{'Gosar'},,,"[""O'Halleran""]"
85938,{'Rogers'},,,,"[""O'Halleran""]"
85942,,,,,"[""O'Halleran""]"
